,Sample.Name,Phylum,Class,Order,Family,Genus,Normalized.Counts
4764,FS904_55_13L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,0.473656904
4766,FS904_55_13L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,1.622532996
4842,FS904_55_13L,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,0.005221208
4857,FS904_55_13L,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfothermus,0.004958174
4887,FS904_55_13L,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,0.005471089
4903,FS904_55_13L,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.010047865
4918,FS904_55_13L,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Marinitoga,1.93413519
4919,FS904_55_13L,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Petrotogaceae_unclassified,0.034352126
4920,FS904_55_13L,Thermotogae,Thermotogae,Thermotogae_unclassified,Thermotogae_unclassified,Thermotogae_unclassified,0.015453196
4938,FS904_80_13L,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.430524081
4939,FS904_80_13L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.060390369
4940,FS904_80_13L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,30.68028667
4941,FS904_80_13L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,29.10701797
4942,FS904_80_13L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,14.63308373
4943,FS904_80_13L,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.050456836
4948,FS904_80_13L,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,1.341553071
4984,FS904_80_13L,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,1.710108441
4985,FS904_80_13L,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,0.076324107
4986,FS904_80_13L,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,0.43236548
4990,FS904_80_13L,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,0.101489892
4991,FS904_80_13L,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.028635632
4992,FS904_80_13L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,0.358659416
4993,FS904_80_13L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,15.05847193
4994,FS904_80_13L,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,0.026305699
4996,FS904_80_13L,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Palaeococcus,0.778272896
4997,FS904_80_13L,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Pyrococcus,0.00731549
4998,FS904_80_13L,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcaceae_unclassified,1.341540544
4999,FS904_80_13L,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,Thermococcus,3.777197744
5092,FS904_RNA,Actinobacteria,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,0.041299095
5110,FS904_RNA,Annelida,Annelida_unclassified,Annelida_unclassified,Annelida_unclassified,Annelida_unclassified,0.072620884
5111,FS904_RNA,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,0.112530106
5112,FS904_RNA,Annelida,Polychaeta,Sabellida,Sabellida_fa,Sabellida_ge,0.316543663
5113,FS904_RNA,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,0.310984169
5117,FS904_RNA,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.371394023
5119,FS904_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,0.806871137
5120,FS904_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,0.810544374
5121,FS904_RNA,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,0.008885262
5122,FS904_RNA,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.583300076
5135,FS904_RNA,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,9.145217942
5137,FS904_RNA,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,0.078478208
5153,FS904_RNA,Bacteroidetes,Bacteroidia,Bacteroidetes_VC2.1_Bac22,Bacteroidetes_VC2.1_Bac22_fa,Bacteroidetes_VC2.1_Bac22_ge,0.09212875
5154,FS904_RNA,Bacteroidetes,Bacteroidia,Bacteroidia_unclassified,Bacteroidia_unclassified,Bacteroidia_unclassified,0.490079282
5205,FS904_RNA,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriales_unclassified,Ignavibacteriales_unclassified,0.019557504
5206,FS904_RNA,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Melioribacteraceae,IheB3-7,0.044873055
5213,FS904_RNA,Caldiserica,Caldisericia,Caldisericales,Caldisericaceae,Caldisericum,0.023081826
5218,FS904_RNA,Cercozoa,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified,Cercozoa_unclassified,0.035392133
5223,FS904_RNA,Chloroflexi,Anaerolineae,Anaerolineae_unclassified,Anaerolineae_unclassified,Anaerolineae_unclassified,0.068054157
5224,FS904_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolineaceae_unclassified,0.0512764
5226,FS904_RNA,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Thermomarinilinea,0.122904518
5240,FS904_RNA,Chloroflexi,Dehalococcoidia,SAR202_clade,SAR202_clade_fa,SAR202_clade_ge,0.153630647
5248,FS904_RNA,Ciliophora,Intramacronucleata,Conthreep,Oligohymenophorea,Oligohymenophorea_unclassified,0.045518353
5253,FS904_RNA,Ciliophora,Intramacronucleata,Intramacronucleata_unclassified,Intramacronucleata_unclassified,Intramacronucleata_unclassified,0.023627848
5294,FS904_RNA,Dependentiae,Babeliae,Babeliales,Babeliales_unclassified,Babeliales_unclassified,0.020004249
5312,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,3.813762923
5313,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,0.063735622
5314,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_Incertae_Sedis,Thiofractor,0.049141952
5315,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,2.673371813
5316,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,CH8-1-BAC,CH8-1-BAC_ge,0.036881283
5319,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Helicobacteraceae,uncultured,0.033456238
5320,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Hydrogenimonas,0.574365175
5322,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Nitratiruptoraceae,Nitratiruptoraceae_unclassified,0.131740141
5323,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,P6-b51,P6-b51_ge,0.03549141
5325,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurospirillaceae,Sulfurospirillum,0.037824411
5326,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Nitratifractor,2.31627363
5327,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovaceae_unclassified,0.508147636
5328,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,0.758424122
5330,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,3.249623245
5331,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulaceae_unclassified,0.022585442
5332,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Thiovulum,0.043632097
5333,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,0.905303955
5334,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.118139238
5336,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautilia,0.204112834
5337,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_ge,0.038320795
5338,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,2.715117653
5339,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,3.34100742
5340,FS904_RNA,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,uncultured,0.640830906
5344,FS904_RNA,Epsilonbacteraeota,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,Epsilonbacteraeota_unclassified,0.020103526
5349,FS904_RNA,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,48.79532725
5351,FS904_RNA,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,0.106821697
5354,FS904_RNA,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,0.029088064
5356,FS904_RNA,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,0.018812929
5359,FS904_RNA,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanothermococcus,0.15293571
5371,FS904_RNA,Euryarchaeota,Thermoplasmata,Marine_Benthic_Group_D_and_DHVEG-1,Marine_Benthic_Group_D_and_DHVEG-1_fa,Marine_Benthic_Group_D_and_DHVEG-1_ge,0.026655786
5372,FS904_RNA,Euryarchaeota,Thermoplasmata,Marine_Group_II,Marine_Group_II_fa,Marine_Group_II_ge,0.077981824
5373,FS904_RNA,Euryarchaeota,Thermoplasmata,Marine_Group_III,Marine_Group_III_fa,Marine_Group_III_ge,0.04293716
5376,FS904_RNA,Euryarchaeota,Thermoplasmata,Thermoplasmata_unclassified,Thermoplasmata_unclassified,Thermoplasmata_unclassified,0.073464736
5379,FS904_RNA,Euryarchaeota,Thermoplasmata,uncultured,uncultured_fa,uncultured_ge,0.040604158
5380,FS904_RNA,Fibrobacteres,Chitinivibrionia,Chitinivibrionales,Chitinivibrionaceae,Chitinivibrionaceae_unclassified,0.011267902
5381,FS904_RNA,Fibrobacteres,Chitinivibrionia,Chitinivibrionales,Chitinivibrionaceae,possible_genus_03,0.060409854
5398,FS904_RNA,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,0.024024954
5419,FS904_RNA,Lentisphaerae,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,Lentisphaerae_unclassified,0.047900993
5423,FS904_RNA,Lentisphaerae,Lentisphaeria,Victivallales,BD2-3,BD2-3_ge,0.051723145
5430,FS904_RNA,Lentisphaerae,Oligosphaeria,P.palmC41,P.palmC41_fa,P.palmC41_ge,0.028690958
5432,FS904_RNA,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,0.091483452
5437,FS904_RNA,MAST-3,MAST-3I,MAST-3I_or,MAST-3I_fa,MAST-3I_ge,0.036285623
5443,FS904_RNA,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,5.9819654
5445,FS904_RNA,Nanoarchaeaeota,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,Nanoarchaeaeota_unclassified,0.055644574
5450,FS904_RNA,Nanoarchaeaeota,Woesearchaeia,Woesearchaeia_or,Woesearchaeia_fa,Woesearchaeia_ge,0.716181899
5476,FS904_RNA,Omnitrophicaeota,Omnitrophicaeota_cl,Omnitrophicaeota_or,Omnitrophicaeota_fa,Omnitrophicaeota_ge,0.019954611
5483,FS904_RNA,Patescibacteria,Gracilibacteria,Absconditabacteriales_(SR1),Absconditabacteriales_(SR1)_fa,Absconditabacteriales_(SR1)_ge,0.071082096
5486,FS904_RNA,Patescibacteria,Gracilibacteria,Gracilibacteria_or,Gracilibacteria_fa,Gracilibacteria_ge,0.20153164
5487,FS904_RNA,Patescibacteria,Gracilibacteria,Gracilibacteria_unclassified,Gracilibacteria_unclassified,Gracilibacteria_unclassified,0.134619165
5488,FS904_RNA,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22_fa,JGI_0000069-P22_ge,0.50596355
5495,FS904_RNA,Patescibacteria,Parcubacteria,Candidatus_Kaiserbacteria,Candidatus_Kaiserbacteria_fa,Candidatus_Kaiserbacteria_ge,0.021394122
5501,FS904_RNA,Patescibacteria,Parcubacteria,Parcubacteria_unclassified,Parcubacteria_unclassified,Parcubacteria_unclassified,0.116699726
5503,FS904_RNA,Patescibacteria,Patescibacteria_unclassified,Patescibacteria_unclassified,Patescibacteria_unclassified,Patescibacteria_unclassified,0.125833179
5504,FS904_RNA,PAUC34f,PAUC34f_cl,PAUC34f_or,PAUC34f_fa,PAUC34f_ge,0.030924683
5511,FS904_RNA,Planctomycetes,OM190,OM190_or,OM190_fa,OM190_ge,0.036136708
5528,FS904_RNA,Planctomycetes,Pla3_lineage,Pla3_lineage_or,Pla3_lineage_fa,Pla3_lineage_ge,0.051326038
5533,FS904_RNA,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Pirellulaceae_unclassified,0.029236979
5544,FS904_RNA,Planctomycetes,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,Planctomycetes_unclassified,0.043383905
5554,FS904_RNA,Proteobacteria,Alphaproteobacteria,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,Alphaproteobacteria_unclassified,0.060707684
5594,FS904_RNA,Proteobacteria,Alphaproteobacteria,Rickettsiales,Mitochondria,Mitochondria_ge,0.116451534
5603,FS904_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_I_unclassified,0.021493399
5607,FS904_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II_ge,0.026209041
5609,FS904_RNA,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_clade_unclassified,SAR11_clade_unclassified,0.087413108
5620,FS904_RNA,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bacteriovoracaceae,Bacteriovoracaceae_unclassified,0.031569981
5629,FS904_RNA,Proteobacteria,Deltaproteobacteria,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,Deltaproteobacteria_unclassified,0.28144936
5644,FS904_RNA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae_unclassified,0.065125496
5645,FS904_RNA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbus,0.022932911
5646,FS904_RNA,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,0.059814194
5655,FS904_RNA,Proteobacteria,Deltaproteobacteria,Desulfofervidales,Desulfofervidaceae,Candidatus_Desulfofervidus,0.075897014
5656,FS904_RNA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfohalobiaceae_unclassified,0.253850446
5658,FS904_RNA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfonauticus,0.209870881
5659,FS904_RNA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfothermus,0.162515909
5660,FS904_RNA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfovermiculus,0.025067359
5661,FS904_RNA,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionales_unclassified,Desulfovibrionales_unclassified,0.075698461
5671,FS904_RNA,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcales_unclassified,Myxococcales_unclassified,0.021294846
5687,FS904_RNA,Proteobacteria,Deltaproteobacteria,Oligoflexales,Oligoflexaceae,uncultured,0.029931916
5690,FS904_RNA,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B)_fa,SAR324_clade(Marine_group_B)_ge,0.093965368
5693,FS904_RNA,Proteobacteria,Deltaproteobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Caldimicrobium,0.035590686
5694,FS904_RNA,Proteobacteria,Deltaproteobacteria,Thermodesulfobacteriales,Thermodesulfobacteriaceae,Thermodesulfobacteriaceae_unclassified,0.068798732
5698,FS904_RNA,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,0.021642314
5714,FS904_RNA,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae_unclassified,0.060757322
5716,FS904_RNA,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Perspicuibacter,0.054304339
5762,FS904_RNA,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,1.797453752
5799,FS904_RNA,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,0.344539684
5800,FS904_RNA,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,0.33927802
5802,FS904_RNA,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thiomicrospiraceae,endosymbionts,0.027847106
5808,FS904_RNA,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Cocleimonas,0.032910216
5810,FS904_RNA,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiotrichaceae_unclassified,0.025514104
5811,FS904_RNA,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,uncultured,0.025911211
5820,FS904_RNA,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,0.499560204
5826,FS904_RNA,Prymnesiophyceae,Prymnesiales,Prymnesiales_or,Prymnesiales_fa,Prymnesiales_fa_unclassified,0.035938155
5839,FS904_RNA,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2,0.018763291
5840,FS904_RNA,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaetaceae_unclassified,0.028740596
5853,FS904_RNA,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,0.04115018
5854,FS904_RNA,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,0.587320781
5855,FS904_RNA,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_unclassified,0.059218534
5858,FS904_RNA,Thermotogae,Thermotogae,Mesoaciditogales,Mesoaciditogaceae,uncultured,0.10731808
5868,FS904_RNA,Verrucomicrobia,Verrucomicrobiae,Arctic97B-4_marine_group,Arctic97B-4_marine_group_fa,Arctic97B-4_marine_group_ge,0.027698191
5900,FS906_80_TP1_12H,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.012806772
5903,FS906_80_TP1_12H,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,1.467429628
5904,FS906_80_TP1_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.020974695
5905,FS906_80_TP1_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,37.2333467
5906,FS906_80_TP1_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,9.547326126
5907,FS906_80_TP1_12H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,2.230797556
5908,FS906_80_TP1_12H,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.15601178
5909,FS906_80_TP1_12H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,3.557130742
5941,FS906_80_TP1_12H,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,0.012429449
5944,FS906_80_TP1_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.198316298
5946,FS906_80_TP1_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.016668779
5947,FS906_80_TP1_12H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,0.010897963
5950,FS906_80_TP1_12H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,0.903110447
5951,FS906_80_TP1_12H,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobaceae_unclassified,0.002552476
5953,FS906_80_TP1_12H,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,0.237713212
5954,FS906_80_TP1_12H,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,42.55339503
5955,FS906_80_TP1_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,0.254714923
5957,FS906_80_TP1_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,0.929722786
5958,FS906_80_TP1_12H,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,0.65465464
6027,FS906_80_TP1_12L,Aquificae,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,0.020804368
6031,FS906_80_TP1_12L,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,2.044444855
6032,FS906_80_TP1_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.0284351
6033,FS906_80_TP1_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,41.82134295
6034,FS906_80_TP1_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,17.47762745
6035,FS906_80_TP1_12L,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,3.425034528
6036,FS906_80_TP1_12L,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.086321498
6037,FS906_80_TP1_12L,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,5.905225573
6055,FS906_80_TP1_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,0.007242728
6063,FS906_80_TP1_12L,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,0.025589742
6066,FS906_80_TP1_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.254142166
6069,FS906_80_TP1_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,0.023520391
6070,FS906_80_TP1_12L,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,0.019086067
6073,FS906_80_TP1_12L,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,1.68820239
6077,FS906_80_TP1_12L,Euryarchaeota,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,Euryarchaeota_unclassified,0.158711829
6079,FS906_80_TP1_12L,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus,25.41201794
6080,FS906_80_TP1_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanococcaceae_unclassified,0.329137663
6083,FS906_80_TP1_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcaceae,Methanotorris,0.929378779
6084,FS906_80_TP1_12L,Euryarchaeota,Methanococci,Methanococcales,Methanococcales_unclassified,Methanococcales_unclassified,0.343733978
6129,FS906_80_TP1_13H,Aquificae,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,Aquificae_unclassified,2.906709139
6130,FS906_80_TP1_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium,0.035829815
6131,FS906_80_TP1_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacteriaceae_unclassified,56.11341581
6132,FS906_80_TP1_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Desulfurobacterium,20.0793639
6133,FS906_80_TP1_13H,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,9.032570314
6134,FS906_80_TP1_13H,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,Archaea_unclassified,0.033286416
6137,FS906_80_TP1_13H,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,8.38513964
6153,FS906_80_TP1_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,0.029582438
6156,FS906_80_TP1_13H,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,0.014075117
6158,FS906_80_TP1_13H,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,3.360545226
