,Temperature,Phylum,Class,Order,Family,Genus,Species,Normalized.Counts,
714,Metatranscriptome,Aquificae,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Thermovibrio,NA,0.059571882,
721,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,0.486170528,
773,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Arcobacteraceae,Arcobacter,NA,0.075031252,
774,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Campylobacterales_unclassified,Campylobacterales_unclassified,NA,0.160857409,
783,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Sulfurovaceae,Sulfurovum,NA,0.06823446,
784,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,NA,0.29479419,
786,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacteria_unclassified,Campylobacteria_unclassified,Campylobacteria_unclassified,NA,0.057306285,
787,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,0.203903757,
790,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Nautiliaceae_unclassified,NA,0.067967919,
791,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,0.252814005,
797,Metatranscriptome,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,4.63367957,
819,Metatranscriptome,Firmicutes,Clostridia,Clostridiales,Family_XI,Anaerococcus,NA,0.075964145,
824,Metatranscriptome,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Psychrilyobacter,NA,0.061304398,
832,Metatranscriptome,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade)_cl,Marinimicrobia_(SAR406_clade)_or,Marinimicrobia_(SAR406_clade)_fa,Marinimicrobia_(SAR406_clade)_ge,NA,0.044912135,
837,Metatranscriptome,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,NA,0.222028536,
906,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,Gammaproteobacteria_unclassified,NA,0.092622949,
917,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,NA,0.188844199,
918,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,NA,0.239886773,
920,Metatranscriptome,Proteobacteria,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,Proteobacteria_unclassified,NA,0.040780751,
925,Metatranscriptome,Thaumarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae_ge,NA,0.082094585,
938,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacteriaceae_unclassified,NA,0.05570704,
940,Metatranscriptome,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,NA,0.07756339,
950,Metatranscriptome,Annelida,Polychaeta,Polychaeta_unclassified,Polychaeta_unclassified,Polychaeta_unclassified,NA,0.174584263,
951,Metatranscriptome,Annelida,Polychaeta,Terebellida,Terebellida_fa,Terebellida_ge,NA,0.31025356,
965,Metatranscriptome,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,NA,0.099819552,
1014,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Campylobacterales,Thiovulaceae,Sulfurimonas,NA,0.055573769,
1017,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Caminibacter,NA,0.039981129,
1020,Metatranscriptome,Epsilonbacteraeota,Campylobacteria,Nautiliales,Nautiliaceae,Thioreductor,NA,0.040514211,
1026,Metatranscriptome,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,Eukaryota_unclassified,NA,0.983535771,
1053,Metatranscriptome,Mollusca,Gastropoda,Vetigastropoda,Vetigastropoda_fa,Vetigastropoda_ge,NA,0.047444273,
1109,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,NA,0.042779808,
1110,Metatranscriptome,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,Thioglobaceae_unclassified,NA,0.046244839, 
